,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,All Events Median mTagBFP2-A,All Events Mean mTagBFP2-A,All Events Max mTagBFP2-A,All Events SD mTagBFP2-A,All Events Min mTagBFP2-A,All Events % CV mTagBFP2-A,All Events Median GFP-A,All Events Mean GFP-A,All Events Max GFP-A,All Events SD GFP-A,All Events Min GFP-A,All Events % CV GFP-A,Cell Population Count,Cell Population % Parent,Cell Population % Grand Parent,Cell Population % Total,Cell Population Count/uL,Cell Population Median mTagBFP2-A,Cell Population Mean mTagBFP2-A,Cell Population Max mTagBFP2-A,Cell Population SD mTagBFP2-A,Cell Population Min mTagBFP2-A,Cell Population % CV mTagBFP2-A,Cell Population Median GFP-A,Cell Population Mean GFP-A,Cell Population Max GFP-A,Cell Population SD GFP-A,Cell Population Min GFP-A,Cell Population % CV GFP-A,Blue+ Count,Blue+ % Parent,Blue+ % Grand Parent,Blue+ % Total,Blue+ Count/uL,Blue+ Median mTagBFP2-A,Blue+ Mean mTagBFP2-A,Blue+ Max mTagBFP2-A,Blue+ SD mTagBFP2-A,Blue+ Min mTagBFP2-A,Blue+ % CV mTagBFP2-A,Blue+ Median GFP-A,Blue+ Mean GFP-A,Blue+ Max GFP-A,Blue+ SD GFP-A,Blue+ Min GFP-A,Blue+ % CV GFP-A,Green+ Count,Green+ % Parent,Green+ % Grand Parent,Green+ % Total,Green+ Count/uL,Green+ Median mTagBFP2-A,Green+ Mean mTagBFP2-A,Green+ Max mTagBFP2-A,Green+ SD mTagBFP2-A,Green+ Min mTagBFP2-A,Green+ % CV mTagBFP2-A,Green+ Median GFP-A,Green+ Mean GFP-A,Green+ Max GFP-A,Green+ SD GFP-A,Green+ Min GFP-A,Green+ % CV GFP-A,All+ Count,All+ % Parent,All+ % Grand Parent,All+ % Total,All+ Count/uL,All+ Median mTagBFP2-A,All+ Mean mTagBFP2-A,All+ Max mTagBFP2-A,All+ SD mTagBFP2-A,All+ Min mTagBFP2-A,All+ % CV mTagBFP2-A,All+ Median GFP-A,All+ Mean GFP-A,All+ Max GFP-A,All+ SD GFP-A,All+ Min GFP-A,All+ % CV GFP-A,mCYRFP1+ Count,mCYRFP1+ % Parent,mCYRFP1+ % Grand Parent,mCYRFP1+ % Total,mCYRFP1+ Count/uL,mCYRFP1+ Median mTagBFP2-A,mCYRFP1+ Mean mTagBFP2-A,mCYRFP1+ Max mTagBFP2-A,mCYRFP1+ SD mTagBFP2-A,mCYRFP1+ Min mTagBFP2-A,mCYRFP1+ % CV mTagBFP2-A,mCYRFP1+ Median GFP-A,mCYRFP1+ Mean GFP-A,mCYRFP1+ Max GFP-A,mCYRFP1+ SD GFP-A,mCYRFP1+ Min GFP-A,mCYRFP1+ % CV GFP-A,GFP-RFP+ Count,GFP-RFP+ % Parent,GFP-RFP+ % Grand Parent,GFP-RFP+ % Total,GFP-RFP+ Count/uL,GFP-RFP+ Median mTagBFP2-A,GFP-RFP+ Mean mTagBFP2-A,GFP-RFP+ Max mTagBFP2-A,GFP-RFP+ SD mTagBFP2-A,GFP-RFP+ Min mTagBFP2-A,GFP-RFP+ % CV mTagBFP2-A,GFP-RFP+ Median GFP-A,GFP-RFP+ Mean GFP-A,GFP-RFP+ Max GFP-A,GFP-RFP+ SD GFP-A,GFP-RFP+ Min GFP-A,GFP-RFP+ % CV GFP-A,BFP-RFP+ Count,BFP-RFP+ % Parent,BFP-RFP+ % Grand Parent,BFP-RFP+ % Total,BFP-RFP+ Count/uL,BFP-RFP+ Median mTagBFP2-A,BFP-RFP+ Mean mTagBFP2-A,BFP-RFP+ Max mTagBFP2-A,BFP-RFP+ SD mTagBFP2-A,BFP-RFP+ Min mTagBFP2-A,BFP-RFP+ % CV mTagBFP2-A,BFP-RFP+ Median GFP-A,BFP-RFP+ Mean GFP-A,BFP-RFP+ Max GFP-A,BFP-RFP+ SD GFP-A,BFP-RFP+ Min GFP-A,BFP-RFP+ % CV GFP-A,GFP-BFP+ Count,GFP-BFP+ % Parent,GFP-BFP+ % Grand Parent,GFP-BFP+ % Total,GFP-BFP+ Count/uL,GFP-BFP+ Median mTagBFP2-A,GFP-BFP+ Mean mTagBFP2-A,GFP-BFP+ Max mTagBFP2-A,GFP-BFP+ SD mTagBFP2-A,GFP-BFP+ Min mTagBFP2-A,GFP-BFP+ % CV mTagBFP2-A,GFP-BFP+ Median GFP-A,GFP-BFP+ Mean GFP-A,GFP-BFP+ Max GFP-A,GFP-BFP+ SD GFP-A,GFP-BFP+ Min GFP-A,GFP-BFP+ % CV GFP-A
20250326-iVector-Plate_001-Group_001-C5 GFP+BFP-3,"10000","100.00","100.00","100.00","372.86","56","-3595","116747","31475","-334677","-875.42","1094","537089","5134904","1204453","-449","224.26","9225","92.25","92.25","92.25","343.96","54","-2902","116747","28808","-334677","-992.70","998","509717","5134904","1161518","-449","227.88","2386","25.86","23.86","23.86","88.96","4146","5928","116747","5957","552","100.49","874601","1262015","4466535","1163076","-196","92.16","3471","37.63","34.71","34.71","129.42","1827","3946","47474","5203","-1417","131.86","337888","830088","4193138","1053676","2073","126.94","131","3.77","1.42","1.31","4.88","8599","9995","39273","6208","1781","62.12","2478901","2433002","4193037","1009403","403621","41.49","383","4.15","3.83","3.83","14.28","3503","-72367","39273","109640","-334677","-151.51","3594781","3357647","5134904","1574039","148","46.88","379","4.11","3.79","3.79","14.13","3503","-73156","39273","109947","-334677","-150.29","3622728","3377832","5134904","1561900","51937","46.24","212","2.30","2.12","2.12","7.90","8024","9572","39273","6041","913","63.12","2284025","2331248","4278330","1103764","51937","47.35","2325","25.20","23.25","23.25","86.69","4272","6044","116747","5942","625","98.31","908270","1292026","4466535","1163002","3303","90.01"
20250326-iVector-Plate_001-Group_001-C6 GFP+RFP-3,"10000","100.00","100.00","100.00","372.72","-5","-4497","18358","29887","-348862","-664.56","1003","499018","5098676","1124141","-468","225.27","9259","92.59","92.59","92.59","345.10","-5","-3714","18358","26604","-348862","-716.31","895","468488","5098676","1078734","-468","230.26","210","2.27","2.10","2.10","7.83","906","1257","18358","1407","552","111.90","1366498","1541810","4065595","1058290","4564","68.64","3555","38.40","35.55","35.55","132.50","-7","-11","18358","578","-2663","-5402.29","367195","811592","4180669","1019960","2078","125.67","54","1.52","0.58","0.54","2.01","1760","2058","4484","821","1251","39.89","2166231","2210026","3937630","961037","116542","43.49","2072","22.38","20.72","20.72","77.23","-124","-16388","4484","54190","-348862","-330.68","1483511","1942646","5098676","1503193","173","77.38","2069","22.35","20.69","20.69","77.12","-125","-16412","4484","54225","-348862","-330.40","1489520","1945371","5098676","1502611","2502","77.24","103","1.11","1.03","1.03","3.84","1265","1566","4484","796","837","50.80","1962221","2003459","3937630","999148","116542","49.87","183","1.98","1.83","1.83","6.82","997","1357","18358","1482","622","109.20","1435026","1608254","3998554","1057576","4564","65.76"
20250326-iVector-Plate_001-Group_001-C7 Triple-3,"10000","100.00","100.00","100.00","372.72","60","-2962","98550","32224","-332956","-1087.74","1534","628489","5120150","1283252","-363","204.18","9102","91.02","91.02","91.02","339.25","59","-2111","98550","28869","-322080","-1367.54","1415","602632","5076520","1244385","-363","206.49","2705","29.72","27.05","27.05","100.82","6346","8506","98550","7984","556","93.87","925273","1311062","4447652","1172033","277","89.40","3682","40.45","36.82","36.82","137.23","3414","6073","98550","7576","-301","124.74","433011","904873","4187810","1079755","2073","119.33","1071","29.09","11.77","10.71","39.92","11060","13158","98550","8771","1298","66.66","1923170","2021296","4187810","1052556","107373","52.07","1805","19.83","18.05","18.05","67.28","8085","-10682","98550","61977","-322080","-580.19","2062382","2387771","5076520","1511933","1677","63.32","1800","19.78","18.00","18.00","67.09","8084","-10724","98550","62055","-322080","-578.67","2064308","2390400","5076520","1511060","78719","63.21","1433","15.74","14.33","14.33","53.41","10058","12017","98550","8748","844","72.80","1778174","1929957","4447652","1146557","107373","59.41","2664","29.27","26.64","26.64","99.29","6469","8631","98550","7983","622","92.49","941843","1330898","4447652","1170324","3399","87.93"
20250326-iVector-Plate_001-Group_001-C8 pV48-3,"10000","100.00","100.00","100.00","362.19","75","8941","448848","28503","-452","318.81","310","129278","4989163","419848","-485","324.76","9202","92.02","92.02","92.02","333.29","71","7991","371507","25558","-452","319.83","299","119785","4858344","389384","-485","325.07","2666","28.97","26.66","26.66","96.56","10546","27499","371507","41461","550","150.77","150188","412218","4858344","634829","-227","154.00","2946","32.01","29.46","29.46","106.70","7920","24013","297548","37480","-147","156.08","111705","360190","4191625","573353","2086","159.18","1834","62.25","19.93","18.34","66.43","22546","37463","297548","42127","1300","112.45","328389","563917","4191625","646324","2659","114.61","2119","23.03","21.19","21.19","76.75","17839","34130","371507","44136","105","129.31","262587","513338","4858344","676131","287","131.71","2113","22.96","21.13","21.13","76.53","17929","34217","371507","44168","105","129.08","263597","514814","4858344","676535","2659","131.41","2073","22.53","20.73","20.73","75.08","18436","34851","371507","44354","817","127.27","275249","524188","4858344","679619","287","129.65","2553","27.74","25.53","25.53","92.47","11492","28646","371507","41998","623","146.61","165409","430402","4858344","642701","3248","149.33"
20250326-iVector-Plate_001-Group_001-C9 pV58-3,"10000","100.00","100.00","100.00","286.45","113","34186","2651329","125652","-1156","367.55","270","121442","4864430","461717","-542","380.20","9136","91.36","91.36","91.36","261.70","109","28580","1655616","106210","-1156","371.63","258","111115","4809025","426474","-542","383.81","2587","28.32","25.87","25.87","74.10","20343","100741","1655616","180502","550","179.17","76458","391815","4809025","729742","-299","186.25","2256","24.69","22.56","22.56","64.62","29433","109512","1366963","175339","218","160.11","110834","425876","4179832","708462","2074","166.35","1603","71.05","17.55","16.03","45.92","72449","151963","1366963","192372","1934","126.59","270323","593025","4179832","780918","5209","131.68","1784","19.53","17.84","17.84","51.10","59629","144449","1655616","202605","953","140.26","215150","564976","4809025","821959","111","145.49","1782","19.51","17.82","17.82","51.05","59796","144663","1655616","202661","953","140.09","216655","565833","4809025","822080","2756","145.29","1769","19.36","17.69","17.69","50.67","60964","145695","1655616","203047","953","139.36","220510","569804","4809025","823785","111","144.57","2176","23.82","21.76","21.76","62.33","33368","119326","1655616","191207","624","160.24","128199","465707","4809025","773804","3244","166.16"
20250326-iVector-Plate_001-Group_001-C10 pV63-3,"10000","100.00","100.00","100.00","370.92","40","8413","2170367","51598","-620","613.29","106","39215","4829222","236759","-635","603.74","9359","93.59","93.59","93.59","347.14","39","7310","1024667","44130","-335","603.67","101","35873","4829222","217961","-635","607.59","1402","14.98","14.02","14.02","52.00","9487","48653","1024667","104863","550","215.53","46442","238848","4829222","518488","-220","217.08","1349","14.41","13.49","13.49","50.04","10088","48323","737778","98029","-190","202.86","51205","238020","4036250","484073","2086","203.37","452","33.51","4.83","4.52","16.77","72809","113399","693917","130057","1575","114.69","361955","579256","4036250","660734","4438","114.07","568","6.07","5.68","5.68","21.07","52552","103110","1024667","137482","1575","133.34","261265","519915","4829222","691126","4438","132.93","567","6.06","5.67","5.67","21.03","52636","103260","1024667","137557","1575","133.22","262280","520698","4829222","691484","4438","132.80","552","5.90","5.52","5.52","20.47","54962","104418","1024667","137926","1575","132.09","279916","527499","4829222","693966","4438","131.56","1266","13.53","12.66","12.66","46.96","11820","53641","1024667","109181","641","203.54","59945","264385","4829222","539448","3251","204.04"
20250326-iVector-Plate_001-Group_001-C11 pV51-3,"10000","100.00","100.00","100.00","303.40","50","5444","431050","24998","-2226","459.15","201","64684","4914559","307271","-496","475.04","9188","91.88","91.88","91.88","278.76","46","4519","412620","21710","-377","480.38","186","57577","4844495","278191","-496","483.16","1952","21.25","19.52","19.52","59.22","5314","21176","412620","43208","551","204.04","66100","269758","4844495","554273","-201","205.47","2169","23.61","21.69","21.69","65.81","4038","18150","387193","38147","-19","210.17","49724","231207","4185158","484576","2078","209.59","1208","55.69","13.15","12.08","36.65","13159","31264","387193","47125","1306","150.73","163350","401380","4185158","596783","8222","148.68","1504","16.37","15.04","15.04","45.63","8685","26891","412620","47726","197","177.48","112636","345506","4844495","611314","-176","176.93","1495","16.27","14.95","14.95","45.36","8753","27048","412620","47837","197","176.86","114181","347708","4844495","612527","2735","176.16","1446","15.74","14.46","14.46","43.87","9493","27957","412620","48385","823","173.07","120533","358901","4844495","619744","-176","172.68","1845","20.08","18.45","18.45","55.98","5923","22301","412620","44179","622","198.10","74166","285181","4844495","566305","3321","198.58"
20250326-iVector-Plate_001-Group_001-C12 pV50-3,"10000","100.00","100.00","100.00","296.21","37","3360","694698","18571","-2609","552.76","58","9236","2156015","62916","-641","681.23","9108","91.08","91.08","91.08","269.79","36","3087","694698","17359","-2609","562.34","53","8948","2156015","61091","-641","682.77","1407","15.45","14.07","14.07","41.68","5918","19853","694698","40237","551","202.67","10088","57684","2156015","146159","-490","253.38","941","10.33","9.41","9.41","27.87","12686","28379","694698","46871","-2609","165.16","27817","86103","2156015","171790","2086","199.52","457","48.57","5.02","4.57","13.54","31121","48784","694698","60302","2195","123.61","90049","160675","2156015","223079","3167","138.84","550","6.04","5.50","5.50","16.29","25672","42922","694698","56666","1189","132.02","70550","138528","2156015","209317","189","151.10","549","6.03","5.49","5.49","16.26","25848","43002","694698","56690","1189","131.83","70620","138886","2156015","209374","3167","150.75","536","5.88","5.36","5.36","15.88","26526","43701","694698","57152","2098","130.78","75185","141513","2156015","211176","189","149.23","866","9.51","8.66","8.66","25.65","14753","30578","694698","48224","693","157.71","32535","93323","2156015","177245","3246","189.93"
20250326-iVector-Plate_001-Group_001-D1 pUC19-3,"10000","100.00","100.00","100.00","208.33","-9","8","174847","1751","-724","21313.62","30","279","2160851","21736","-699","7788.91","9168","91.68","91.68","91.68","191.00","-8","11","174847","1828","-724","17060.37","32","298","2160851","22701","-699","7610.17","1","0.01","0.01","0.01","0.02","174847","174847","174847","0","174847","0.00","2160851","2160851","2160851","0","2160851","0.00","2","0.02","0.02","0.02","0.04","87437","87437","174847","123616","27","141.38","1198021","1198021","2160851","1361647","235191","113.66","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","0.01","0.01","0.01","0.02","-724","-724","-724","0","-724","0.00","-265","-265","-265","0","-265","0.00","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","0.01","0.01","0.01","0.02","174847","174847","174847","0","174847","0.00","2160851","2160851","2160851","0","2160851","0.00"
20250326-iVector-Plate_001-Group_001-D2 GFP-3,"10000","100.00","100.00","100.00","476.42","-57","-17483","5678","60995","-356836","-348.88","7649","974638","5110018","1616281","-293","165.83","9095","90.95","90.95","90.95","433.30","-55","-16054","5128","57297","-352854","-356.90","6139","961119","5110018","1602993","-293","166.78","40","0.44","0.40","0.40","1.91","1024","1453","5128","1041","559","71.66","1523925","1617516","4005827","1096212","32567","67.77","4519","49.69","45.19","45.19","215.29","-104","-316","5128","592","-4210","-187.45","336952","901636","4191724","1137693","2074","126.18","12","0.27","0.13","0.12","0.57","2357","2630","5128","1201","1278","45.68","1832333","1994160","3168114","712858","1171763","35.75","556","6.11","5.56","5.56","26.49","-199141","-184005","5128","127799","-352854","-69.45","4956138","4293763","5110018","1271181","349787","29.61","553","6.08","5.53","5.53","26.35","-200462","-184719","5128","127663","-352854","-69.11","4956971","4298354","5110018","1270683","349787","29.56","21","0.23","0.21","0.21","1.00","1377","1922","5128","1226","834","63.78","2031408","2200329","4005827","921984","1064984","41.90","39","0.43","0.39","0.39","1.86","1034","1476","5128","1045","642","70.77","1539565","1643404","4005827","1098085","32567","66.82"
20250326-iVector-Plate_001-Group_001-D3 mTagBFP2-3,"10000","100.00","100.00","100.00","415.80","78","7360","999592","24801","-345938","336.99","23","3090","5067784","109473","-1235","3542.94","9117","91.17","91.17","91.17","379.09","78","6563","382450","19259","-345938","293.43","20","3344","5067784","114641","-1235","3428.32","2823","30.96","28.23","28.23","117.38","10879","21354","382450","28699","552","134.40","17","227","75751","2624","-1235","1153.63","46","0.50","0.46","0.46","1.91","35338","42628","167911","39202","-1455","91.96","10687","151618","2661231","472519","2157","311.65","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3","0.03","0.03","0.03","0.12","-188566","-176660","4526","175535","-345938","-99.36","4959805","3342553","5067784","2895177","72","86.62","2","0.02","0.02","0.02","0.08","-267252","-267252","-188566","111279","-345938","-41.64","5013794","5013794","5067784","76353","4959805","1.52","1","0.01","0.01","0.01","0.04","4526","4526","4526","0","4526","0.00","72","72","72","0","72","0.00","28","0.31","0.28","0.28","1.16","43806","52416","167911","35258","4885","67.27","12447","19462","75751","18029","3328","92.64"
20250326-iVector-Plate_001-Group_001-D4 mCyRFP1-3,"10000","100.00","100.00","100.00","572.41","2","2","2888","108","-2350","4770.42","13","24","3351","197","-2389","832.19","9406","94.06","94.06","94.06","538.41","2","2","2888","103","-2350","4409.26","12","20","1222","187","-2389","926.69","5","0.05","0.05","0.05","0.29","1008","1251","2888","951","552","76.02","554","619","1095","409","79","66.17","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","780","8.29","7.80","7.80","44.65","-13","-18","1175","184","-2350","-998.09","-30","-27","1095","246","-2389","-913.58","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2","0.02","0.02","0.02","0.11","1092","1092","1175","118","1008","10.79","1021","1021","1095","105","947","10.27","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
20250326-iVector-Plate_001-Group_001-D5 GFP+BFP-4,"10000","100.00","100.00","100.00","410.00","118","889","260038","29038","-342067","3267.95","6054","749363","5110391","1352296","-343","180.46","9245","92.45","92.45","92.45","379.05","118","1310","260038","27124","-342067","2070.24","4480","725989","5110391","1319397","-343","181.74","3713","40.16","37.13","37.13","152.23","9940","13230","260038","12834","553","97.00","814525","1272775","4702119","1228099","293","96.49","4466","48.31","44.66","44.66","183.11","6151","10303","83742","11805","-684","114.58","477361","932959","4184033","1080845","2077","115.85","87","1.95","0.94","0.87","3.57","21939","22532","58264","12400","3073","55.03","2341011","2398927","4153886","1026392","110057","42.79","316","3.42","3.16","3.16","12.96","3484","-66802","58264","102684","-342067","-153.72","4200960","3527370","5110391","1601854","-179","45.41","313","3.39","3.13","3.13","12.83","3431","-67521","58264","102909","-342067","-152.41","4217888","3543858","5110391","1590712","110057","44.89","156","1.69","1.56","1.56","6.40","18296","20071","58264","11947","2272","59.52","2304249","2313894","4310025","1177412","110057","50.88","3655","39.53","36.55","36.55","149.86","10218","13437","260038","12836","623","95.53","837771","1293781","4702119","1227361","3469","94.87"
20250326-iVector-Plate_001-Group_001-D6 GFP+RFP-4,"10000","100.00","100.00","100.00","475.96","-38","-9404","11446","43142","-351570","-458.76","2178","721294","5089549","1393448","-994","193.19","9328","93.28","93.28","93.28","443.98","-37","-8712","11446","41008","-351570","-470.72","2042","707962","5089549","1376343","-994","194.41","46","0.49","0.46","0.46","2.19","864","1316","11446","1640","568","124.61","1366195","1695846","4191090","1234418","128414","72.79","4014","43.03","40.14","40.14","191.05","-88","-269","11446","581","-4210","-216.30","382033","905732","4191090","1121275","2073","123.80","11","0.27","0.12","0.11","0.52","1845","1961","3001","626","1280","31.91","2608652","2649267","4191090","1020565","808190","38.52","1822","19.53","18.22","18.22","86.72","-814","-37191","3001","83062","-351570","-223.34","2548661","2702492","5089549","1534349","28134","56.78","1820","19.51","18.20","18.20","86.63","-818","-37289","3001","83106","-351570","-222.87","2561190","2706278","5089549","1534316","28134","56.69","19","0.20","0.19","0.19","0.90","1378","1580","3001","659","844","41.73","2608652","2550976","4191090","1130330","772907","44.31","43","0.46","0.43","0.43","2.05","941","1368","11446","1686","622","123.22","1468582","1747824","4191090","1241885","128414","71.05"
20250326-iVector-Plate_001-Group_001-D7 Triple-4,"10000","100.00","100.00","100.00","546.75","23","-316","40277","13441","-331367","-4259.98","187","146729","5062714","616669","-982","420.28","9389","93.89","93.89","93.89","513.34","24","-261","40277","12800","-331367","-4896.56","190","142614","5062714","604301","-982","423.73","992","10.57","9.92","9.92","54.24","3954","5721","40277","5561","553","97.20","572850","953738","4327601","990262","191","103.83","1465","15.60","14.65","14.65","80.10","1742","3874","40277","5235","-328","135.13","235529","641433","4060082","885900","2082","138.11","267","18.23","2.84","2.67","14.60","8570","10049","40277","6726","1309","66.94","1782428","1864185","4008498","978240","63205","52.48","442","4.71","4.42","4.42","24.17","6565","-8791","40277","56918","-331367","-647.44","1726427","2097065","5062714","1439660","-982","68.65","437","4.65","4.37","4.37","23.89","6633","-8929","40277","57228","-331367","-640.89","1736932","2113414","5062714","1438417","38782","68.06","366","3.90","3.66","3.66","20.01","7891","9483","40277","6606","900","69.66","1505594","1712456","4305120","1034164","38782","60.39","968","10.31","9.68","9.68","52.93","4046","5848","40277","5570","628","95.25","590329","974100","4327601","993491","5403","101.99"
20250326-iVector-Plate_001-Group_001-D8 pV48-4,"10000","100.00","100.00","100.00","395.73","76","9602","410447","30094","-1019","313.40","379","141121","4965629","452612","-510","320.73","9199","91.99","91.99","91.99","364.03","74","8469","377813","26179","-1019","309.11","365","127646","4771004","400766","-510","313.97","2762","30.03","27.62","27.62","109.30","11656","28119","377813","41605","553","147.96","169258","423712","4771004","640085","-209","151.07","3107","33.78","31.07","31.07","122.95","8554","24140","279852","37578","-84","155.67","118049","363157","4164800","573199","2078","157.84","2044","65.79","22.22","20.44","80.89","20678","35873","279852","41715","1252","116.29","312214","541675","4164800","637250","7778","117.64","2302","25.02","23.02","23.02","91.10","17384","33320","377813","43728","-1019","131.24","250818","503710","4771004","673026","-50","133.61","2297","24.97","22.97","22.97","90.90","17455","33424","377813","43735","110","130.85","252908","505457","4771004","673033","4093","133.15","2250","24.46","22.50","22.50","89.04","18030","34097","377813","43939","825","128.86","266837","515469","4771004","676411","693","131.22","2681","29.14","26.81","26.81","106.09","12518","28930","377813","41961","623","145.04","181518","436566","4771004","645368","3769","147.83"
20250326-iVector-Plate_001-Group_001-D9 pV58-4,"10000","100.00","100.00","100.00","349.04","76","20192","1257044","85775","-538","424.79","232","78903","4803621","362414","-593","459.31","9355","93.55","93.55","93.55","326.53","74","17246","1257044","76240","-538","442.06","226","72042","4582647","332422","-593","461.43","2020","21.59","20.20","20.20","70.51","15152","79660","1257044","148183","556","186.02","54640","332723","4582647","652106","-593","195.99","1781","19.04","17.81","17.81","62.16","21843","85620","1092589","143485","75","167.58","81562","357869","4132103","627796","2088","175.43","1199","67.32","12.82","11.99","41.85","60307","124882","1092589","160706","1903","128.69","241530","524788","4132103","707228","2265","134.76","1354","14.47","13.54","13.54","47.26","47020","117402","1257044","168626","998","143.63","178418","493128","4582647","745934","-221","151.27","1347","14.40","13.47","13.47","47.02","47764","117890","1257044","168922","998","143.29","180674","495929","4582647","746883","2508","150.60","1338","14.30","13.38","13.38","46.70","48594","118779","1257044","169164","998","142.42","190701","498929","4582647","748495","-221","150.02","1670","17.85","16.70","16.70","58.29","26282","95720","1257044","158320","621","165.40","105936","402376","4582647","697433","3311","173.33"
20250326-iVector-Plate_001-Group_001-D10 pV63-4,"10000","100.00","100.00","100.00","462.75","21","3307","1694538","30609","-664","925.61","81","15354","4888707","139498","-598","908.57","9388","93.88","93.88","93.88","434.43","21","2896","710161","24785","-664","855.93","77","14487","4161218","130712","-598","902.24","860","9.16","8.60","8.60","39.80","5823","31458","710161","76246","550","242.37","25353","157206","4161218","405288","-262","257.81","837","8.92","8.37","8.37","38.73","6215","32171","710161","77161","-14","239.84","27908","161611","4161218","409941","2089","253.66","188","22.46","2.00","1.88","8.70","61267","100300","710161","124565","6466","124.19","324813","536942","4161218","688392","36678","128.21","249","2.65","2.49","2.49","11.52","42222","83741","710161","113521","-664","135.56","212975","441456","4161218","626441","183","141.90","248","2.64","2.48","2.48","11.48","42443","84081","710161","113623","3009","135.14","217320","443235","4161218","627077","18148","141.48","239","2.55","2.39","2.39","11.06","44386","86100","710161","115081","3009","133.66","227163","454338","4161218","635298","18148","139.83","759","8.08","7.59","7.59","35.12","7857","35396","710161","80341","630","226.98","36246","177924","4161218","427182","3261","240.09"
20250326-iVector-Plate_001-Group_001-D11 pV51-4,"10000","100.00","100.00","100.00","277.85","52","6964","966441","30272","-688","434.72","281","85566","4930776","364115","-487","425.54","9341","93.41","93.41","93.41","259.54","50","6124","966441","27362","-305","446.81","274","77671","4887149","333115","-487","428.88","2149","23.01","21.49","21.49","59.71","7319","26528","966441","52100","554","196.40","89819","336121","4887149","629050","-216","187.15","2453","26.26","24.53","24.53","68.16","4936","21468","343090","40837","-41","190.22","59281","274987","4139091","528566","2073","192.21","1476","60.17","15.80","14.76","41.01","14595","34741","343090","48231","1249","138.83","184129","447066","4139091","624402","2260","139.67","1748","18.71","17.48","17.48","48.57","11257","32178","966441","56252","142","174.81","142975","409559","4887149","676426","422","165.16","1736","18.58","17.36","17.36","48.24","11361","32379","966441","56394","142","174.17","144565","412309","4887149","677949","5104","164.43","1678","17.96","16.78","16.78","46.62","11850","33466","966441","57052","816","170.48","152081","425844","4887149","685579","422","160.99","2063","22.09","20.63","20.63","57.32","7931","27576","966441","52915","627","191.89","99083","349954","4887149","638297","3300","182.39"
20250326-iVector-Plate_001-Group_001-D12 pV50-4,"10000","100.00","100.00","100.00","318.88","44","4173","889799","19920","-592","477.33","79","11891","3555597","72606","-596","610.59","9196","91.96","91.96","91.96","293.24","45","3866","439916","17149","-546","443.60","77","11557","1748616","63812","-596","552.14","1732","18.83","17.32","17.32","55.23","6882","20409","439916","34998","556","171.48","11412","61093","1748616","136400","-437","223.26","1179","12.82","11.79","11.79","37.60","13189","28730","439916","39735","213","138.31","30156","89629","1748616","157436","2102","175.65","632","53.60","6.87","6.32","20.15","30370","45738","439916","47445","1389","103.73","92655","153838","1748616","192796","8948","125.32","751","8.17","7.51","7.51","23.95","25169","40711","439916","45253","842","111.16","68915","134117","1748616","182665","6167","136.20","751","8.17","7.51","7.51","23.95","25287","40750","439916","45238","842","111.01","68947","134382","1748616","182626","6167","135.90","737","8.01","7.37","7.37","23.50","26072","41341","439916","45451","901","109.94","71497","136542","1748616","183668","6167","134.51","1095","11.91","10.95","10.95","34.92","15170","30654","439916","40569","654","132.34","34884","96283","1748616","161454","3254","167.69"
